DATE,MPRIME
1/1/2006,7.26
2/1/2006,7.5
3/1/2006,7.53
4/1/2006,7.75
5/1/2006,7.93
6/1/2006,8.02
7/1/2006,8.25
8/1/2006,8.25
9/1/2006,8.25
10/1/2006,8.25
11/1/2006,8.25
12/1/2006,8.25
1/1/2007,8.25
2/1/2007,8.25
3/1/2007,8.25
4/1/2007,8.25
5/1/2007,8.25
6/1/2007,8.25
7/1/2007,8.25
8/1/2007,8.25
9/1/2007,8.03
10/1/2007,7.74
11/1/2007,7.5
12/1/2007,7.33
1/1/2008,6.98
2/1/2008,6
3/1/2008,5.66
4/1/2008,5.24
5/1/2008,5
6/1/2008,5
7/1/2008,5
8/1/2008,5
9/1/2008,5
10/1/2008,4.56
11/1/2008,4
12/1/2008,3.61
1/1/2009,3.25
2/1/2009,3.25
3/1/2009,3.25
4/1/2009,3.25
5/1/2009,3.25
6/1/2009,3.25
7/1/2009,3.25
8/1/2009,3.25
9/1/2009,3.25
10/1/2009,3.25
11/1/2009,3.25
12/1/2009,3.25
1/1/2010,3.25
2/1/2010,3.25
3/1/2010,3.25
4/1/2010,3.25
5/1/2010,3.25
6/1/2010,3.25
7/1/2010,3.25
8/1/2010,3.25
9/1/2010,3.25
10/1/2010,3.25
11/1/2010,3.25
12/1/2010,3.25
1/1/2011,3.25
2/1/2011,3.25
3/1/2011,3.25
4/1/2011,3.25
5/1/2011,3.25
6/1/2011,3.25
7/1/2011,3.25
8/1/2011,3.25
9/1/2011,3.25
10/1/2011,3.25
11/1/2011,3.25
12/1/2011,3.25
1/1/2012,3.25
2/1/2012,3.25
3/1/2012,3.25
4/1/2012,3.25
5/1/2012,3.25
6/1/2012,3.25
7/1/2012,3.25
8/1/2012,3.25
9/1/2012,3.25
10/1/2012,3.25
11/1/2012,3.25
12/1/2012,3.25
1/1/2013,3.25
2/1/2013,3.25
3/1/2013,3.25
4/1/2013,3.25
5/1/2013,3.25
6/1/2013,3.25
7/1/2013,3.25
8/1/2013,3.25
9/1/2013,3.25
10/1/2013,3.25
11/1/2013,3.25
12/1/2013,3.25
1/1/2014,3.25
2/1/2014,3.25
3/1/2014,3.25
4/1/2014,3.25
5/1/2014,3.25
6/1/2014,3.25
7/1/2014,3.25
8/1/2014,3.25
9/1/2014,3.25
10/1/2014,3.25
11/1/2014,3.25
12/1/2014,3.25
1/1/2015,3.25
2/1/2015,3.25
3/1/2015,3.25
4/1/2015,3.25
5/1/2015,3.25
6/1/2015,3.25
7/1/2015,3.25
8/1/2015,3.25
9/1/2015,3.25
10/1/2015,3.25
11/1/2015,3.25
12/1/2015,3.37
1/1/2016,3.5
2/1/2016,3.5
3/1/2016,3.5
4/1/2016,3.5
5/1/2016,3.5
6/1/2016,3.5
7/1/2016,3.5
8/1/2016,3.5
9/1/2016,3.5
10/1/2016,3.5
11/1/2016,3.5
12/1/2016,3.64
1/1/2017,3.75
2/1/2017,3.75
3/1/2017,3.88
4/1/2017,4
5/1/2017,4
6/1/2017,4.13
7/1/2017,4.25
8/1/2017,4.25
9/1/2017,4.25
10/1/2017,4.25
11/1/2017,4.25
12/1/2017,4.4
1/1/2018,4.5
2/1/2018,4.5
3/1/2018,4.58
4/1/2018,4.75
5/1/2018,4.75
6/1/2018,4.89
7/1/2018,5
8/1/2018,5
9/1/2018,5.03
10/1/2018,5.25
11/1/2018,5.25
12/1/2018,5.35
1/1/2019,5.5
2/1/2019,5.5
3/1/2019,5.5
4/1/2019,5.50
5/1/2019,5.50
6/1/2019,5.50
7/1/2019,5.50
8/1/2019,5.25
9/1/2019,5.15
10/1/2019,4.99
11/1/2019,4.75
12/1/2019,4.75
1/1/2020,4.75
2/1/2020,4.75
3/1/2020,3.78
4/1/2020,3.25
5/1/2020,3.25
